timestamp,meid,cell_id,node_id,format,DRB_MeanActiveUeDl,DRB_PdcpSduDelayDl,RRU_PrbUsedDl,TB_TotNbrDlInitial_16Qam,TB_TotNbrDlInitial_64Qam,TB_TotNbrDlInitial_Qpsk,UE_DRB_BlerDl_UEID,UE_DRB_EstabSucc_5QI_UEID,UE_DRB_PdcpSduDelayDl_UEID,UE_DRB_RelActNbr_5QI_UEID,UE_DRB_UEThpDl_UEID,UE_HO_SrcCellQual_RS-SINR_UEID,UE_HO_TrgtCellQual_RS-SINR_UEID,UE_RRU_PrbUsedDl_UEID,UE_TB_TotNbrDlInitial_16Qam_UEID,UE_TB_TotNbrDlInitial_64Qam_UEID,UE_TB_TotNbrDlInitial_Qpsk_UEID
2026-04-24T18:00:26.017448+00:00,gnb:131-133-31000000,UE_3030303031,3,F1,,,,,,,,1,,0,,,,,,,
2026-04-24T18:00:26.017548+00:00,gnb:131-133-31000000,UE_3030303034,6,F1,,,,,,,,1,,0,,,,,,,
2026-04-24T18:00:26.017660+00:00,gnb:131-133-31000000,UE_3030303032,4,F1,,,,,,,,1,,0,,,,,,,
2026-04-24T18:00:26.017755+00:00,gnb:131-133-31000000,UE_3030303033,5,F1,,,,,,,,1,,0,,,,,,,
2026-04-24T18:00:26.018480+00:00,gnb:131-133-31000000,CELL_1111,2,F1,4,,26,0,125,251,,,,,,,,,,,
2026-04-24T18:00:26.018595+00:00,gnb:131-133-31000000,UE_3030303034,6,F1,,,,,,,,,,,13524.477191,,,2,0,62,0
2026-04-24T18:00:26.018707+00:00,gnb:131-133-31000000,UE_3030303032,4,F1,,,,,,,,,,,6056.92856,,,12,0,0,126
2026-04-24T18:00:26.018769+00:00,gnb:131-133-31000000,UE_3030303033,5,F1,,,,,,,,,,,7107.553314,,,10,0,0,125
2026-04-24T18:00:26.018826+00:00,gnb:131-133-31000000,UE_3030303031,3,F1,,,,,,,,,,,12819.802244,,,2,0,63,0
2026-04-24T18:00:26.874550+00:00,gnb:131-133-31000000,CELL_1111,2,F1,,9.987954,,,,,,,,,,,,,,,
2026-04-24T18:00:26.874664+00:00,gnb:131-133-31000000,UE_3030303032,4,F1,,,,,,,0.0,,11.761395,,,,,,,,
2026-04-24T18:00:26.874729+00:00,gnb:131-133-31000000,UE_3030303034,6,F1,,,,,,,0.0,,8.568783,,,,,,,,
2026-04-24T18:00:26.874784+00:00,gnb:131-133-31000000,UE_3030303031,3,F1,,,,,,,0.0,,8.898621,,,,,,,,
2026-04-24T18:00:26.874838+00:00,gnb:131-133-31000000,UE_3030303033,5,F1,,,,,,,0.0,,10.723017,,,,,,,,
2026-04-24T18:00:26.875093+00:00,gnb:131-133-31000000,CELL_1111,2,F1,,,,,,,,,,,,,,,,,
2026-04-24T18:00:26.875152+00:00,gnb:131-133-31000000,UE_3030303032,4,F1,,,,,,,,1,,0,,,,,,,
2026-04-24T18:00:26.875210+00:00,gnb:131-133-31000000,UE_3030303033,5,F1,,,,,,,,1,,0,,,,,,,
2026-04-24T18:00:26.875263+00:00,gnb:131-133-31000000,UE_3030303034,6,F1,,,,,,,,1,,0,,,,,,,
2026-04-24T18:00:26.875314+00:00,gnb:131-133-31000000,UE_3030303031,3,F1,,,,,,,,1,,0,,,,,,,
2026-04-24T18:00:26.875538+00:00,gnb:131-133-31000000,CELL_1111,2,F1,4,,26,0,128,251,,,,,,,,,,,
2026-04-24T18:00:26.875601+00:00,gnb:131-133-31000000,UE_3030303034,6,F1,,,,,,,,,,,13524.68267,,,2,0,63,0
2026-04-24T18:00:26.875781+00:00,gnb:131-133-31000000,UE_3030303032,4,F1,,,,,,,,,,,6056.567789,,,12,0,0,126
2026-04-24T18:00:26.875888+00:00,gnb:131-133-31000000,UE_3030303033,5,F1,,,,,,,,,,,7108.278505,,,10,0,0,125
2026-04-24T18:00:26.875994+00:00,gnb:131-133-31000000,UE_3030303031,3,F1,,,,,,,,,,,12815.523582,,,2,0,65,0
2026-04-24T18:00:27.730093+00:00,gnb:131-133-31000000,CELL_1111,2,F1,,9.897487,,,,,,,,,,,,,,,
2026-04-24T18:00:27.730200+00:00,gnb:131-133-31000000,UE_3030303033,5,F1,,,,,,,0.0,,10.622257,,,,,,,,
2026-04-24T18:00:27.730262+00:00,gnb:131-133-31000000,UE_3030303034,6,F1,,,,,,,0.0,,8.468845,,,,,,,,
2026-04-24T18:00:27.730317+00:00,gnb:131-133-31000000,UE_3030303032,4,F1,,,,,,,0.0,,11.675492,,,,,,,,
2026-04-24T18:00:27.730368+00:00,gnb:131-133-31000000,UE_3030303031,3,F1,,,,,,,0.0,,8.823353,,,,,,,,
2026-04-24T18:00:27.732634+00:00,gnb:131-133-31000000,CELL_1111,2,F1,,,,,,,,,,,,,,,,,
2026-04-24T18:00:27.732743+00:00,gnb:131-133-31000000,UE_3030303031,3,F1,,,,,,,,1,,0,,,,,,,
2026-04-24T18:00:27.732844+00:00,gnb:131-133-31000000,UE_3030303032,4,F1,,,,,,,,1,,0,,,,,,,
2026-04-24T18:00:27.732947+00:00,gnb:131-133-31000000,UE_3030303033,5,F1,,,,,,,,1,,0,,,,,,,
2026-04-24T18:00:27.733048+00:00,gnb:131-133-31000000,UE_3030303034,6,F1,,,,,,,,1,,0,,,,,,,
2026-04-24T18:00:27.733400+00:00,gnb:131-133-31000000,CELL_1111,2,F1,4,,26,0,125,250,,,,,,,,,,,
2026-04-24T18:00:27.733466+00:00,gnb:131-133-31000000,UE_3030303031,3,F1,,,,,,,,,,,12815.947018,,,2,0,63,0
2026-04-24T18:00:27.733526+00:00,gnb:131-133-31000000,UE_3030303034,6,F1,,,,,,,,,,,13525.801546,,,2,0,62,0
2026-04-24T18:00:27.733582+00:00,gnb:131-133-31000000,UE_3030303032,4,F1,,,,,,,,,,,6057.046002,,,12,0,0,125
2026-04-24T18:00:27.733724+00:00,gnb:131-133-31000000,UE_3030303033,5,F1,,,,,,,,,,,7109.166676,,,10,0,0,125
2026-04-24T18:00:28.583468+00:00,gnb:131-133-31000000,CELL_1111,2,F1,,10.007323,,,,,,,,,,,,,,,
2026-04-24T18:00:28.584629+00:00,gnb:131-133-31000000,UE_3030303034,6,F1,,,,,,,0.0,,8.552928,,,,,,,,
2026-04-24T18:00:28.584711+00:00,gnb:131-133-31000000,UE_3030303031,3,F1,,,,,,,0.0,,8.914662,,,,,,,,
2026-04-24T18:00:28.584770+00:00,gnb:131-133-31000000,UE_3030303033,5,F1,,,,,,,0.0,,10.790465,,,,,,,,
2026-04-24T18:00:28.584824+00:00,gnb:131-133-31000000,UE_3030303032,4,F1,,,,,,,0.0,,11.771239,,,,,,,,
2026-04-24T18:00:28.585019+00:00,gnb:131-133-31000000,CELL_1111,2,F1,,,,,,,,,,,,,,,,,
2026-04-24T18:00:28.585077+00:00,gnb:131-133-31000000,UE_3030303032,4,F1,,,,,,,,1,,0,,,,,,,
2026-04-24T18:00:28.585133+00:00,gnb:131-133-31000000,UE_3030303031,3,F1,,,,,,,,1,,0,,,,,,,
2026-04-24T18:00:28.585186+00:00,gnb:131-133-31000000,UE_3030303034,6,F1,,,,,,,,1,,0,,,,,,,
2026-04-24T18:00:28.585237+00:00,gnb:131-133-31000000,UE_3030303033,5,F1,,,,,,,,1,,0,,,,,,,
